iteration,total_runs,obs_realization,par_realization,DD,TR,STOR
9,1226,32,32,2.92902,1.44259,1.4362
9,1226,33,33,0.608723,0.262676,4.0549
9,1226,34,34,1.15566,0.600645,5.38511
9,1226,35,35,2.78766,1.58195,4.27549
9,1226,36,36,2.28152,2.68408,5.47568
9,1226,37,37,1.22357,0.00210307,4.58859
9,1226,38,38,1.58584,0.00253409,9.66089
9,1226,39,39,0.122022,0.000469479,1.00549
9,1226,40,40,1.48187,2.41491,0.153697
9,1226,41,41,2.21708,0.554767,6.07836
9,1226,42,42,0.951679,0.0330648,4.64787
9,1226,43,43,2.87757,1.64325,9.2455
9,1226,44,44,1.22413,0.347596,7.85449
9,1226,45,45,0.670383,0.410458,5.00832
9,1226,46,46,1.75171,0.00317118,3.33406
9,1226,47,47,1.81681,0.95126,11.8059
9,1226,48,48,1.02287,0.790301,4.85486
9,1226,BASE,BASE,0.0321949,0.0555718,3.80993
